sample_id,video_id,cluster_id,episode_keys_json,visual_signal_basis,valid_frame_count,real_sync_score,best_lag_s,null_count,null_median,null_p95,empirical_percentile,p_like_score,rank_within_sample,top1_top2_margin
-RfYyzHpjk4$_$2,-RfYyzHpjk4,0,"[""0:0"",""1:2""]",mouth_landmarks_62_66_over_48_54,135,0.2746997883646816,0.04,24,0.1199673633765316,0.2786160651185501,0.9166666666666666,0.12,1,
-RfYyzHpjk4$_$2,-RfYyzHpjk4,1,"[""1:1""]",mouth_landmarks_62_66_over_48_54,1,,,0,,,,,2,
-RfYyzHpjk4$_$8,-RfYyzHpjk4,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,114,0.375661412976752,0.08,26,0.1422714013662688,0.3699395125137071,0.9230769230769232,0.1111111111111111,1,
-THoVjtIkeU$_$12,-THoVjtIkeU,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,371,0.0479995268954099,0.16,26,0.1732723975991622,0.3005704293299518,0.1923076923076923,0.8148148148148148,1,
-THoVjtIkeU$_$2,-THoVjtIkeU,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,107,-0.3240690417682107,0.0,26,-0.1125977039294303,0.2394307696951139,0.2307692307692307,0.7777777777777778,1,
-THoVjtIkeU$_$6,-THoVjtIkeU,0,"[""0:0"",""0:1"",""0:2"",""0:3"",""0:4""]",mouth_landmarks_62_66_over_48_54,199,-0.0347103797433599,0.12,26,0.0985604037365139,0.2564294179479002,0.1538461538461538,0.8518518518518519,1,
-UUCSKoHeMA$_$0,-UUCSKoHeMA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,187,0.1819018760859627,0.2,26,0.1674376281072307,0.3548514266286662,0.5769230769230769,0.4444444444444444,1,
-UacrmKiTn4$_$10,-UacrmKiTn4,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,182,0.2206546035178123,0.08,26,0.1742066647784769,0.3493647308585779,0.6538461538461539,0.3703703703703703,1,
-UacrmKiTn4$_$4,-UacrmKiTn4,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,119,0.0284651734947726,0.04,26,0.1098129264901209,0.2716097036463331,0.3461538461538461,0.6666666666666666,1,
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,45,0.1383109709461619,-0.2,25,0.2586716578094991,0.556779753167417,0.28,0.7307692307692307,4,
-UuX1xuaiiE$_$0,-UuX1xuaiiE,1,"[""0:1""]",mouth_landmarks_62_66_over_48_54,36,-0.1597595582787457,-0.04,25,-0.053917317055753,0.503655844462094,0.44,0.5769230769230769,5,
-UuX1xuaiiE$_$0,-UuX1xuaiiE,2,"[""1:2""]",mouth_landmarks_62_66_over_48_54,44,0.5155786212963438,-0.12,25,0.4186406964690903,0.7320983424142414,0.64,0.3846153846153846,1,0.169812298398569
-UuX1xuaiiE$_$0,-UuX1xuaiiE,3,"[""2:3""]",mouth_landmarks_62_66_over_48_54,44,0.3457663228977747,-0.12,25,0.3806161349109915,0.5293742956998996,0.32,0.6923076923076923,2,
-UuX1xuaiiE$_$0,-UuX1xuaiiE,4,"[""3:4""]",mouth_landmarks_62_66_over_48_54,44,0.2582381025515295,-0.2,25,0.2123927970886686,0.4440130733414378,0.68,0.3461538461538461,3,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,105,0.2341923703900143,-0.16,26,0.1853377484312587,0.2955200397582649,0.7692307692307693,0.2592592592592592,4,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,"[""0:1""]",mouth_landmarks_62_66_over_48_54,134,0.2496598688764653,0.12,26,0.17878243602081,0.3076661657594894,0.6923076923076923,0.3333333333333333,2,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,2,"[""0:2""]",mouth_landmarks_62_66_over_48_54,2,,,0,,,,,9,
